date,close,close,close,close,close,close,close,Volume USD,CapRealUSD,0,0,1,2,3,4,5,6,TxTfrValMedUSD,TxCnt,IssContNtv,FeeTotUSD,FeeMedUSD,AdrActCnt,DiffMean,BlkCnt,BlkSizeMeanByte,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2015-02-10,0.0010415016677187694,-0.014557475033559086,-0.03408106335913086,-0.008697078454746432,0.018039078036289347,-0.02701358590465386,-0.028554248694270257,6332.22,4193564220.696128,0.032036613272311214,0.02993961099364295,0.03501467586256081,0.024852891457662743,0.029733722382720623,0.04153938017506175,0.029246885764518,0.052883736768058805,5.941891350555244,102102.0,3600.0,3133.709263221057,0.0220888154295734,227906.0,44455415962.3438,144.0,390984.270833333,254843.0,243455.16382703,53776361.7915182,0,0,0,0,0,1,0
2015-02-11,-0.008316906621926634,-0.007275404954207865,-0.02287438165548572,-0.04239796998105749,-0.017013985076673066,0.009722171414362712,-0.03533049252658049,9298.5,4189693808.5329766,0.02464772778759457,0.019241592872847685,0.02993961099364295,0.03501467586256081,0.024852891457662743,0.029733722382720623,0.04153938017506175,0.029246885764518,4.609413054354171,98560.0,3950.0,3223.85534564943,0.0219495859731151,236742.0,44455415962.3438,158.0,353265.329113924,260788.0,260754.98695861,57234640.04166517,0,0,0,0,0,0,1
2015-02-12,0.015127785209060995,0.006810878587134361,0.00785238025485313,-0.007746596446424725,-0.027270184771996497,-0.0018861998676120706,0.024849956623423708,4010.23,4189184957.5934706,0.02221013507388272,0.014803218541902023,0.019241592872847685,0.02993961099364295,0.03501467586256081,0.024852891457662743,0.029733722382720623,0.04153938017506175,1.8268663112017505,88258.0,2975.0,2818.323203903897,0.0222583227936879,232114.0,44455415962.3438,119.0,423162.117647059,289552.0,205220.62737258,45678669.67982028,0,0,0,0,1,0,0
2015-02-13,0.06272193912946555,0.07784972433852655,0.06953281771659992,0.07057431938431868,0.05497534268304083,0.035451754357469056,0.06083573926185348,8077.55,4190103018.2961135,0.09048563788493051,0.0133390938246512,0.014803218541902023,0.019241592872847685,0.02993961099364295,0.03501467586256081,0.024852891457662743,0.029733722382720623,0.1230087891876095,113789.0,3650.0,4157.032867294,0.0236555363822326,312759.0,44455415962.3438,146.0,512475.643835616,505188.0,261878.89916758,61948858.269977115,1,0,0,0,0,0,0
2015-02-14,0.08510266359394958,0.14782460272341513,0.16295238793247613,0.1546354813105495,0.15567698297826826,0.1400780062769904,0.12055441795141864,10813.61,4192193905.8146615,0.09032466092984823,0.05437928715996774,0.0133390938246512,0.014803218541902023,0.019241592872847685,0.02993961099364295,0.03501467586256081,0.024852891457662743,2.174162633357945,100479.0,4000.0,3947.1660659213103,0.0257627695791935,260312.0,44455415962.3438,160.0,418558.3125,296419.0,235233.46620074,60602655.870446675,0,0,1,0,0,0,0
2015-02-15,-0.0972080633999779,-0.012105399806028316,0.05061653932343724,0.06574432453249823,0.0574274179105716,0.05846891957829037,0.04286994287701251,18474.58,4190495207.1617785,0.15452556518920665,0.05428241270495674,0.05437928715996774,0.0133390938246512,0.014803218541902023,0.019241592872847685,0.02993961099364295,0.03501467586256081,0.0998739120946813,82100.0,3500.0,3130.5923708884397,0.0234445803039158,342433.0,44455415962.3438,140.0,462760.85,402460.0,215945.37533929,50627486.934012234,0,0,0,1,0,0,0
2015-02-16,0.01079575258983656,-0.08641231081014134,-0.001309647216191756,0.0614122919132738,0.0765400771223348,0.06822317050040816,0.06926467216812693,12321.08,4189741444.236811,0.051144697404502275,0.0929873855740501,0.05428241270495674,0.05437928715996774,0.0133390938246512,0.014803218541902023,0.019241592872847685,0.02993961099364295,2.35086126826417,103452.0,3925.0,3561.826512807852,0.0235086126826417,261678.0,44455415962.3438,157.0,404780.012738854,327426.0,183839.02770186,43218004.98196465,0,1,0,0,0,0,0
2015-02-17,0.03493532983221659,0.04573108242205315,-0.05147698097792475,0.03362568261602483,0.09634762174549039,0.11147540695455138,0.10315850033262475,11898.41,4190436427.493679,0.0697601863599493,0.030722219120525984,0.0929873855740501,0.05428241270495674,0.05437928715996774,0.0133390938246512,0.014803218541902023,0.019241592872847685,0.48781158854471,104074.0,3725.0,3937.4900141823214,0.0243905794272355,272213.0,44455415962.3438,149.0,451624.395973154,378243.0,202848.02969771,49475809.80000221,0,0,0,0,0,1,0
2015-02-18,-0.038153353526417355,-0.0032180236942007667,0.0075777288956357935,-0.0896303345043421,-0.004527670910392523,0.05819426821907303,0.07332205342813403,6766.05,4190067270.344872,0.061597529421584134,0.04191226416914341,0.030722219120525984,0.0929873855740501,0.05428241270495674,0.05437928715996774,0.0133390938246512,0.014803218541902023,4.696305123173592,103957.0,4175.0,3467.9913112707072,0.0235995232320281,246403.0,44455415962.3438,167.0,352799.377245509,268548.0,204272.49104764,48207333.98143032,0,0,0,0,0,0,1
2015-02-19,0.02876091731501429,-0.009392436211403066,0.025542893620813523,0.03633864621065008,-0.06086941718932781,0.024233246404621767,0.08695518553408732,4730.24,4182293831.86386,0.038904029791749,0.0370047898875499,0.04191226416914341,0.030722219120525984,0.0929873855740501,0.05428241270495674,0.05437928715996774,0.0133390938246512,5.068395591219392,93715.0,4150.0,3267.1227566224993,0.0241872253945061,213440.0,44455415962.3438,166.0,315134.0,237902.0,183557.40698556,44397443.75590828,0,0,0,0,1,0,0
